timestamp,date_GMT,team_name,a_team,ppg,Opp_PPG,PPG_Dif,goal_count,a_goal_count,corner_count,shots,shots_on_target,Opp_Shot_On_Target,SoT_Comp_Ratio,SoT_Diff,Goal_Sot,possession,xg,Op_Xg,xg_diff,odds_win,odds_draw,Win,prediction_label
1679583600,Mar 23 2023 - 3:00pm,Kazakhstan,Slovenia,1.64,2.2,-0.56,1,2,3,5,3,7,0.428571429,-4,0.333333333,40,0.77,1.6,-0.83,4.4,0,0,0
1679600700,Mar 23 2023 - 7:45pm,Italy,England,1.75,2.5,-0.75,1,2,7,8,2,5,0.4,-3,0.5,58,1.15,0.95,0.2,2.9,0,0,0
1679600700,Mar 23 2023 - 7:45pm,FYR Macedonia,Malta,1,0,1,2,1,5,14,5,3,1.666666667,2,0.4,60,1.79,0.7,1.09,0,0,1,0
1679600700,Mar 23 2023 - 7:45pm,Denmark,Finland,2.2,1.64,0.56,3,1,7,15,11,3,3.666666667,8,0.272727273,57,2.14,0.9,1.24,1.32,4.65,1,1
1679600700,Mar 23 2023 - 7:45pm,San Marino,Northern Ireland,0,0.9,-0.9,0,2,0,3,2,5,0.4,-3,0,25,0.73,1.57,-0.84,55,12.5,0,0
1679600700,Mar 23 2023 - 7:45pm,Portugal,Liechtenstein,3,0,3,4,0,12,25,12,2,6,10,0.333333333,80,3.45,0.37,3.08,0,60,1,1
1679600700,Mar 23 2023 - 7:45pm,Slovakia,Luxembourg,2.2,1.55,0.65,0,0,9,12,4,3,1.333333333,1,0,53,1.46,0.89,0.57,1.52,0,0,1
1679600700,Mar 23 2023 - 7:45pm,Bosnia-Herzegovina,Iceland,0.82,1.08,-0.26,3,0,5,11,8,4,2,4,0.375,37,1.41,1.11,0.3,1.82,0,1,1
1679677200,Mar 24 2023 - 5:00pm,Bulgaria,Montenegro,0.5,1.38,-0.88,0,1,3,7,4,7,0.571428571,-3,0,64,0.99,1.55,-0.56,2.87,3.2,0,0
1679687100,Mar 24 2023 - 7:45pm,France,Netherlands,2.75,2.25,0.5,4,0,3,12,9,6,1.5,3,0.444444444,41,1.69,1.33,0.36,1.85,0,1,1
1679687100,Mar 24 2023 - 7:45pm,Gibraltar,Greece,0,1.7,-1.7,0,3,0,2,2,8,0.25,-6,0,27,0.35,2.78,-2.43,26,10,0,0
1679687100,Mar 24 2023 - 7:45pm,Czech Republic,Poland,1.88,1.5,0.38,3,1,3,9,7,5,1.4,2,0.428571429,36,1.36,1.18,0.18,2.31,3.3,1,1
1679687100,Mar 24 2023 - 7:45pm,Moldova,Faroe Islands,1.25,0.25,1,1,1,7,7,4,3,1.333333333,1,0.25,60,1.12,0.8,0.32,2.56,3,0,0
1679687100,Mar 24 2023 - 7:45pm,Sweden,Belgium,1.25,2.5,-1.25,0,3,5,7,5,6,0.833333333,-1,0,44,1.1,1.21,-0.11,3.4,0,0,0
1679687100,Mar 24 2023 - 7:45pm,Austria,Azerbaijan,2.38,0.88,1.5,4,1,8,24,13,4,3.25,9,0.307692308,52,2.91,0.77,2.14,1.23,6,1,1
1679687100,Mar 24 2023 - 7:45pm,Serbia,Lithuania,1.75,0.75,1,2,0,3,11,5,4,1.25,1,0.4,58,1.4,0.83,0.57,1.09,10,1,1
1679752800,Mar 25 2023 - 2:00pm,Scotland,Cyprus,2.13,0,2.13,3,0,8,9,7,3,2.333333333,4,0.428571429,61,1.55,0.69,0.86,1.25,5.85,1,1
1679763600,Mar 25 2023 - 5:00pm,Armenia,Turkey,1,2.13,-1.13,1,2,4,8,5,5,1,0,0.2,41,1.21,1.3,-0.09,0,4.5,0,0
1679763600,Mar 25 2023 - 5:00pm,Belarus,Switzerland,1.2,1.7,-0.5,0,5,1,7,2,7,0.285714286,-5,0,29,0.81,1.78,-0.97,13.25,6.4,0,0
1679763600,Mar 25 2023 - 5:00pm,Israel,Kosovo,1.36,1.1,0.26,1,1,4,14,4,4,1,0,0.25,54,1.62,0.93,0.69,1.85,3.4,0,0
1679773500,Mar 25 2023 - 7:45pm,Spain,Norway,2.63,1.38,1.25,3,0,4,11,8,3,2.666666667,5,0.375,63,1.72,0.87,0.85,1.31,4.7,1,1
